"","D_10_R1.sam","D_10_R2.sam","D_10_R3.sam","D_18_R1.sam","D_18_R2.sam","D_18_R3_T1.sam","D_18_R3.sam","D_18_R4.sam","D_25_R1.sam","D_25_R2.sam","D_25_R3.sam","D_34_R1.sam","D_34_R2_T1.sam","D_34_R2.sam","D_34_R3.sam","D_34_R4.sam","L_10_R1.sam","L_10_R2.sam","L_10_R3.sam","L_18_R1.sam","L_18_R2.sam","L_18_R3.sam","L_18_R4.sam","L_25_R1.sam","L_25_R2.sam","L_25_R3.sam","L_34_R1.sam","L_34_R2.sam","L_34_R3.sam","L_34_R4_T1.sam","L_34_R4_T2.sam","L_34_R4_T3.sam","L_34_R4.sam"
"MED134_07831",548,491,633,1010,1064,719,1203,727,1379,1015,1154,996,920,1795,1149,1095,383,356,562,1052,669,865,742,1128,1126,1110,1445,927,1136,1310,1244,1077,1638
"MED134_07836",347,296,270,867,884,641,941,583,1376,1010,1244,1044,938,1679,1206,1066,285,198,344,837,423,628,578,1089,1111,1126,1381,957,901,1126,1132,1019,1484
"MED134_07841",126,143,143,417,433,375,507,312,809,566,713,524,520,906,630,557,104,118,147,431,221,363,325,553,604,646,741,516,476,549,573,490,781
"MED134_07846",307,293,272,677,717,621,882,536,1300,804,1233,723,715,1307,876,804,262,177,276,722,392,531,465,877,913,902,846,631,637,901,886,770,1194
"MED134_07851",287,254,204,636,644,598,852,502,1150,772,1074,696,695,1322,871,703,258,167,243,667,356,470,444,892,930,858,836,649,549,804,821,645,1117
"MED134_07856",79,97,69,236,250,204,331,168,428,262,419,239,226,392,268,213,80,64,98,244,152,158,168,302,339,302,299,234,168,275,261,239,354
"MED134_07866",200,202,142,473,558,395,673,309,914,578,755,389,360,752,482,470,135,115,201,469,219,335,286,650,660,602,514,380,340,519,500,471,724
"MED134_07871",235,231,195,461,501,394,598,321,621,438,531,673,709,1281,906,833,188,133,199,443,217,300,265,471,448,442,1046,674,697,854,785,724,1179
"MED134_07876",1084,1274,1700,1389,1606,1226,1676,926,1652,1039,1632,870,919,1551,1201,909,955,652,1883,1368,696,934,884,1054,1005,1020,1309,902,847,860,749,806,1463
"MED134_07881",1496,1612,1297,2055,2225,1558,2354,1365,2864,1695,2531,1651,1544,2874,1943,1510,1191,781,1485,1930,1130,1323,1307,1824,1538,1648,2303,1685,1429,1678,1562,1573,2394
"MED134_07886",871,1026,704,1474,1792,1007,1724,853,2577,1329,1934,1230,964,2096,1335,1161,660,514,927,1290,696,722,750,1531,1191,1276,1938,1396,1092,1415,1190,1215,1940
"MED134_07891",840,952,978,1697,1950,1308,2058,1138,2885,1821,2661,2170,1881,3581,2757,2451,608,555,969,1613,913,1171,969,2009,1845,1935,3052,2204,1978,2753,2717,2551,3372
"MED134_07896",549,476,467,1004,1195,844,1230,878,1579,1127,1644,1295,1225,2158,1691,1313,459,420,449,1192,632,819,732,1293,1241,1153,1645,1108,1092,1146,1053,1144,1733
"MED134_07901",846,810,894,1383,1619,1210,1742,1002,2517,1609,2291,1579,1514,2804,1679,1372,614,589,856,1573,744,1256,841,1858,1760,1775,2089,1503,1135,1416,1335,1294,2099
"MED134_07906",224,318,282,395,477,407,520,349,570,444,641,340,432,683,467,340,180,135,278,416,236,371,331,527,379,570,392,388,308,407,362,303,572
"MED134_07911",634,726,803,1063,1149,892,1282,779,1471,1026,1339,921,790,1520,1254,973,543,432,729,1176,601,933,787,1083,1057,1067,1215,787,741,1094,1218,975,1458
"MED134_07916",1156,1186,1007,1827,2036,1465,2162,1393,2150,1588,2268,1455,1384,2637,2092,1579,906,744,1051,1871,933,1457,1273,1690,1692,1650,1856,1349,1285,1925,2011,1733,2416
"MED134_07921",1105,1138,1573,2248,2116,1757,2669,1623,1493,1049,1409,976,1000,1784,1350,1151,998,852,1414,2357,1244,1919,1742,1021,1089,1075,1546,1118,1049,1242,1235,1120,1749
"MED134_07926",392,300,351,478,492,290,498,336,488,450,390,433,340,736,524,549,330,305,331,614,317,440,388,487,427,412,883,504,418,561,588,508,829
"MED134_07931",719,948,654,1249,1356,976,1496,823,1613,1055,1518,1132,1190,2217,1531,1167,768,529,815,1224,636,814,822,1217,1231,1217,1485,1128,1037,1562,1526,1395,2158
"MED134_07936",657,701,627,988,1044,749,1132,761,1106,824,1025,797,684,1405,1107,1024,689,510,680,1090,530,755,742,877,924,847,1142,814,876,1002,1004,939,1469
"MED134_07941",85,108,121,158,162,99,164,89,221,111,192,141,102,289,196,155,74,65,142,115,68,80,70,116,119,109,232,192,132,115,112,112,290
"MED134_07946",1424,1651,1483,3168,3307,2735,4045,2308,4074,2503,3399,3156,3045,5428,3990,2887,1433,1001,1654,3095,1534,2008,2099,2731,2605,2594,3603,2642,2524,3433,3617,3137,4785
"MED134_07951",381,478,418,659,545,616,856,461,515,390,639,881,923,1484,1275,822,362,258,438,539,351,451,497,332,375,354,1159,922,759,940,848,899,1408
"MED134_07956",157,186,160,152,147,108,167,107,148,98,140,136,102,252,175,127,115,97,160,129,67,82,83,79,81,98,187,144,133,149,158,162,226
"MED134_07961",1914,2012,1975,2713,3107,2262,3066,1955,3596,2511,2963,1971,2052,3568,2364,2139,1674,1171,2048,2722,1481,1846,1927,2673,2538,2725,2799,2005,1774,2607,2628,2386,3481
"MED134_07966",943,1050,986,1541,1775,1250,2093,1039,2057,1443,2303,1526,1488,2724,2117,1571,748,548,961,1566,847,1135,948,1521,1491,1522,1686,1271,1308,1794,1707,1664,2457
"MED134_07971",179,206,141,255,316,213,439,202,364,223,367,223,226,460,369,205,130,111,177,263,151,180,150,242,228,235,220,174,182,311,318,279,438
"MED134_07976",300,286,258,493,565,409,590,380,596,452,557,424,398,693,594,456,272,214,269,564,250,358,330,421,437,415,450,370,395,495,452,452,600
"MED134_07981",480,457,454,588,719,503,799,493,796,644,819,885,824,1630,770,747,334,291,485,667,382,565,409,729,713,737,1058,753,549,698,692,614,948
"MED134_07986",945,991,1031,1248,1686,1243,1686,1077,1644,1253,1513,1628,1740,3122,1886,1588,782,597,1062,1505,768,1171,830,1432,1455,1501,2228,1472,1289,1740,1507,1499,2415
"MED134_07991",754,864,547,767,1067,574,1114,527,952,671,1232,1311,869,2109,1705,1139,578,417,661,748,412,653,388,693,766,749,1392,1070,838,1084,974,984,1813
"MED134_07996",2789,2798,1831,2892,4078,3113,3858,2472,3003,2018,3594,3514,4106,6316,4696,3569,1805,1359,1998,2737,1431,1979,1810,2359,2070,2261,3717,2899,3178,3422,3284,3147,5638
"MED134_08001",1473,1681,1249,1786,2190,1457,2166,1272,2343,1420,2389,1658,1697,3171,3780,2528,1101,810,1413,1763,949,1065,1101,1582,1508,1596,2027,1339,2359,3193,3119,2828,4528
"MED134_08006",10779,11070,9678,16276,18409,11403,18598,11130,19843,13420,19864,16330,15190,29567,23896,16580,9033,7015,10161,16376,8272,11359,10425,15490,14648,14318,18104,13307,14539,20940,20709,18213,26832
"MED134_08011",7541,7901,6800,9343,10228,6414,10306,6436,10658,7240,9698,6300,5910,11464,8685,6486,6824,5190,7257,9595,4926,5960,6046,9037,8458,8313,8053,5984,6056,8107,8298,7419,10616
"MED134_08016",1455,1620,1693,4838,4358,3787,6016,3075,3710,2531,3236,2304,2053,3728,3166,2628,1315,1024,1574,4090,2503,3126,3167,2173,2355,2268,3283,2562,2104,3139,3293,2849,3973
"MED134_08021",2730,3017,2973,5085,5358,3887,6387,3392,5493,3604,4857,3617,3285,6305,5329,4121,2190,1670,2877,4857,2618,3482,3258,3730,3792,3660,4581,3578,3480,4939,5131,4633,6663
"MED134_08026",964,1079,1033,1741,2042,1428,2133,1281,2632,1776,2295,1223,1216,2358,1697,1452,879,601,1189,1704,893,1090,1204,1943,1845,1922,1769,1424,1281,1790,1755,1587,2421
"MED134_08031",2051,2012,1725,3051,3499,2457,3807,2239,3475,2551,3174,1775,1964,3538,2730,2352,1467,1324,1762,3153,1417,2116,1930,2869,2779,2556,2339,1856,1958,2669,2667,2357,3701
"MED134_08036",3254,3734,3067,4648,5431,3986,5626,3247,5013,3326,4588,3379,3520,6086,4226,3089,2560,1804,3307,4218,2346,2773,3000,3613,3226,3230,3769,3009,2711,3661,3699,3299,4941
"MED134_08041",217,287,214,436,517,274,480,274,582,319,529,408,389,815,651,471,179,151,184,373,203,255,225,338,365,382,585,418,438,252,205,236,645
"MED134_08046",189,252,171,414,429,257,480,246,551,326,529,491,452,946,743,532,154,119,212,389,182,212,252,375,310,377,562,515,482,393,349,377,796
"MED134_08051",97,105,79,187,205,122,213,112,244,150,195,217,211,354,306,223,75,52,89,159,81,109,104,152,120,137,217,194,199,243,277,241,357
"MED134_08056",6210,5986,7014,7573,8330,5388,8207,5618,8712,6156,6834,8251,6857,12956,7532,8694,5433,4739,6213,9873,4652,7408,6687,7692,7540,6628,16735,9864,7419,9050,9018,8180,11168
"MED134_08061",37319,38888,38239,43078,54930,34732,52818,32875,56571,37942,50840,31434,33015,59326,32891,31046,31166,25998,37454,48444,23726,32525,29892,47479,44942,41368,49644,31822,28530,37284,36273,33075,49783
"MED134_08066",20072,21457,19078,26546,31287,17961,31235,16830,33653,19850,28679,15215,13236,27428,21231,15880,16713,12003,19445,25750,12765,15971,14258,24024,21945,20342,20030,15236,15093,20058,20108,18077,26837
"MED134_08071",13042,14435,11863,17179,18808,13236,21642,11737,21962,12265,15916,8057,8273,16663,10477,9216,12171,8648,13131,17610,8165,10554,10082,15078,14847,12762,13186,8462,8516,11946,11572,11003,18564
"MED134_08076",11563,12344,12480,15092,16330,11029,17112,10307,15965,10824,13346,5684,5882,10814,8060,8059,10564,8403,12285,15143,8003,10938,10441,11452,12241,11136,9847,7059,6986,9614,9299,8826,13510
"MED134_08081",1744,1962,2649,2588,2863,1980,3222,1727,3348,2038,3032,1294,1280,2466,1651,1749,1551,1119,2281,2515,1711,1742,1549,2598,2462,2541,2310,1608,1462,2064,1945,1909,2822
"MED134_08086",2757,2848,2192,4072,4822,3172,4944,2910,4984,3569,5180,3074,3077,5848,4125,4156,1715,1562,2333,3987,1938,2960,2333,3960,3719,3546,4447,3250,3375,4938,4383,4042,6350
"MED134_08091",1304,1310,1333,1582,1894,1218,2025,1097,2272,1448,2157,1774,1524,3009,2561,2652,957,789,1314,1620,792,1249,893,1662,1631,1522,2483,1714,2005,2733,2616,2425,3894
"MED134_08096",7021,8744,9684,16276,12471,10483,17613,10066,8584,8498,11381,13095,12505,23982,20446,18680,6917,7306,8096,22061,8513,14307,11232,6546,9368,7007,13478,6992,12808,11046,10022,9750,20359
"MED134_08101",2980,3360,4090,6801,4895,3901,6329,4113,3742,3380,3699,4502,3956,7579,6663,6276,2812,3072,3332,9167,3220,6078,4833,2708,4125,2960,5146,2622,4527,2907,2138,2518,6476
"MED134_08106",2803,2845,2209,3844,4450,3222,4695,2787,5155,3331,4917,3788,3796,6818,5097,3805,2212,1654,2441,3705,1885,2534,2509,3962,3487,3424,4478,3378,3341,4743,4747,4235,6270
"MED134_08111",2487,2788,2138,4154,4968,3426,5036,2935,6552,4185,5854,4319,4416,8139,5862,4770,1874,1466,2535,4153,2057,2613,2522,4945,4496,4429,6206,4584,4316,5927,5845,5270,7981
"MED134_16627",972,1023,1049,1620,1885,1332,1920,1348,2443,1875,2036,1489,1510,2619,1916,1841,829,702,1063,1831,1013,1316,1236,1892,2087,1947,2601,1835,1718,1562,1540,1540,2548
"MED134_08121",2025,2194,1821,3305,3510,2349,3716,2242,4552,2919,3934,2686,2280,4468,3481,2916,1862,1343,2022,3364,1684,2254,2003,3411,3195,2900,3812,2638,2670,3399,3577,3099,4662
"MED134_08126",1976,1963,1663,3226,3835,2214,3770,2154,4240,2829,3942,2607,2338,4856,3563,2797,1572,1126,1995,3265,1305,2092,1727,3385,3007,2922,3480,2466,2615,3403,3504,3126,4529
"MED134_08131",897,1030,1180,1702,1899,1486,2179,1339,2075,1615,2129,1530,1614,2649,1956,1839,772,642,1086,1869,1180,1565,1297,1494,1658,1816,2148,1536,1534,1774,1709,1572,2460
"MED134_08136",655,717,634,1622,1751,1356,2236,1104,2021,1459,2342,1266,1277,2559,1994,1409,480,374,686,1319,773,970,859,1375,1251,1334,1343,1112,1078,1441,1623,1432,1934
"MED134_08141",13928,16599,14459,30908,26930,24549,38966,17683,28176,14281,21683,5193,4618,8707,10898,6128,13109,9171,13590,25914,12117,14269,14718,14861,14096,13569,5260,3955,4897,7328,7302,6670,10680
"MED134_08146",14187,16079,12824,17656,19642,13165,19966,11886,19639,11948,16702,12246,11964,22613,19199,13304,12209,8461,13811,16517,8404,10107,11450,13878,12408,12884,14660,10477,11654,14791,14594,13683,21549
"MED134_08151",770,724,638,2003,1972,1503,2617,1554,2427,2177,2739,2165,2035,4196,3180,2717,625,584,582,2084,1193,1819,1413,2107,2390,2155,2905,2171,1971,2841,2793,2489,3618
"MED134_08156",473,496,541,920,950,664,1101,647,993,719,999,1165,838,1775,1362,1233,380,369,522,1015,493,826,697,740,807,745,1439,1127,921,1058,963,995,1565
"MED134_08161",1703,1857,1689,3039,3396,2552,3689,2312,3802,2882,3770,3085,3045,5339,3944,3439,1266,1168,1740,3291,1865,2766,2318,2909,3199,3200,4428,2985,2595,3841,3576,3458,5169
"MED134_08166",1132,1292,1088,2530,2715,1927,2716,1741,3496,2299,2938,3119,3240,5495,4046,3114,911,772,1191,2474,1311,1718,1731,2454,2520,2431,3922,2981,2698,3474,3624,3378,4746
"MED134_08171",2538,2463,2627,4066,4098,3206,4640,2959,4370,3192,3570,3136,3305,5582,4016,3642,2087,1687,2518,4263,2329,2942,2886,3283,3518,3351,4095,3038,3063,3616,3664,3254,4892
"MED134_08176",716,669,758,1044,1103,818,1223,830,1358,861,1132,613,620,1152,893,769,643,456,734,1131,551,779,739,951,944,907,934,615,571,832,798,785,1305
"MED134_08181",1635,1920,1481,2192,2535,1592,2606,1360,2854,1615,2563,1922,1661,3388,2468,1801,1178,856,1652,1969,1154,1217,1186,1911,1684,1774,2107,1762,1378,2351,2247,1984,3020
"MED134_08186",2890,3187,1913,3494,3834,2347,3996,2138,3955,2175,3400,2952,2430,4764,3295,2470,2075,1474,2176,3132,1560,1630,1854,2809,2294,2149,2901,2442,2124,3100,3253,2921,4258
"MED134_08191",227,295,687,306,358,274,445,254,391,257,443,335,364,666,555,445,181,138,762,316,196,222,227,249,236,293,438,384,352,484,454,402,673
"MED134_08196",1373,1573,1414,1864,2045,1552,2288,1257,2228,1453,2228,1572,1457,2829,2263,1516,1068,873,1593,1886,1034,1227,1225,1592,1555,1571,1949,1400,1414,1906,1972,1725,2724
"MED134_08201",1223,1290,850,1732,2032,1173,2241,1187,1976,1402,1985,797,747,1815,1307,1198,713,776,1121,1679,772,1028,962,1632,1568,1341,1240,1078,1044,1684,1598,1469,2570
"MED134_08211",551,569,492,811,825,695,955,604,870,617,848,555,573,1000,816,609,461,332,542,739,446,603,478,607,645,619,656,548,499,627,664,600,913
"MED134_08216",2779,3582,3022,6257,6647,5221,8253,4221,8376,5033,7235,9520,9852,18754,15296,10160,2612,1918,3172,5917,2971,3445,4361,5512,5170,5067,13096,10622,9776,14654,14790,12937,20198
"MED134_08221",1281,1536,808,989,1298,669,1255,688,1385,823,1670,799,639,1433,1337,943,956,704,1060,1050,595,702,594,1126,980,876,1252,900,716,800,736,760,1587
"MED134_08226",1269,1532,758,1278,1484,837,1583,900,1726,1077,1851,885,639,1539,1344,987,970,658,978,1425,729,964,781,1278,1257,1025,1573,1093,858,818,655,668,1764
"MED134_08231",1554,1824,1147,2073,2242,1728,2524,1466,2557,1938,2911,1774,1629,2951,2520,2042,1090,808,1396,2150,1330,1755,1656,1920,1999,1994,2642,2110,1789,1869,1590,1713,3438
"MED134_08236",3299,3240,3013,4810,5306,4067,6145,3534,5839,4032,6121,4097,4095,7599,5444,4407,2432,2056,3151,4924,2634,3713,3241,4264,4209,4272,5665,3913,3801,4567,4054,4072,7525
"MED134_08241",1091,1176,816,1671,1737,1450,2047,1138,2148,1300,1963,1491,1577,2910,2044,1371,893,639,892,1607,903,1082,1051,1547,1426,1425,1717,1403,1261,1743,1604,1605,2621
"MED134_08246",1646,1787,1057,2426,2851,2089,3116,1782,3580,2071,2931,2184,2211,3999,2920,2171,1417,964,1368,2356,1235,1529,1442,2538,2184,2099,2742,1892,1961,1972,1800,1863,3620
"MED134_08251",6969,7261,3430,8312,9983,5925,9265,4969,12038,6796,11721,5199,4484,8740,6957,5943,4499,3179,4273,7787,3344,4446,4081,9318,7465,5804,7034,4580,4781,5875,5354,5390,9119
"MED134_08256",3646,3659,3196,5501,6521,4639,7507,4239,9673,5956,9970,4935,4436,8829,6227,5232,2859,2071,3513,5428,3025,4274,3112,6997,6475,6369,7076,4279,4100,4997,4683,4592,8477
"MED134_08261",3726,4046,4188,5421,5913,3969,6769,4264,7580,5447,8107,4589,4000,8548,6995,4807,2642,2028,4101,5476,4109,4484,4383,5477,5446,5593,6193,4406,3998,4579,4266,4013,7756
"MED134_08266",7246,8940,6734,10679,12708,8689,14017,7873,13233,9453,17997,11247,9949,20013,16046,10286,6154,4762,7305,10007,6874,8971,6956,9051,9742,9975,11535,9129,8329,9987,8961,8758,15877
"MED134_08271",9261,9478,6398,13263,13586,7521,15386,8413,13122,9278,14190,9837,6431,16018,12547,9433,8322,6187,6720,12373,5885,9582,7161,9780,9953,8274,11251,8047,7358,10191,9048,9395,14403
"MED134_08276",2476,2671,2810,5496,7244,5242,7344,4054,12848,8547,12613,3927,4560,7625,5251,2768,1989,1497,3029,5452,3097,3807,3750,9886,8696,8959,3752,3616,2883,3166,3243,2865,4542
"MED134_08281",1470,1776,1105,3007,3580,2774,3784,2103,4976,2662,4253,2332,2555,4505,2914,1977,1283,915,1356,2888,1188,1747,1662,3041,2763,2881,2677,1929,1849,2356,2029,2102,3507
"MED134_08286",1574,1828,1384,3279,3571,2821,3801,2161,5398,3036,4045,2249,2513,4030,2632,2061,1328,946,1540,3082,1598,1885,1954,3408,3226,3155,2919,1996,1894,2348,2358,2223,3540
"MED134_08291",5719,5804,5561,9561,10725,7668,10863,6762,12239,8016,10851,4835,5154,8472,5547,5166,4253,3247,5393,8867,4998,6771,6038,8511,8144,8234,6867,4735,4155,5974,5715,5479,7918
"MED134_08301",353,486,632,643,592,636,867,398,616,411,677,493,532,1020,746,495,327,247,502,522,409,400,462,444,442,564,536,462,426,643,705,596,961
"MED134_08306",185,215,143,344,364,272,408,211,465,249,296,327,302,682,418,297,167,118,183,341,146,183,159,297,300,244,417,281,246,434,469,426,659
"MED134_08311",1342,1595,1306,2240,2374,1855,2840,1655,2536,1586,2060,1860,1921,3288,2604,2157,1174,818,1431,2348,1169,1536,1489,1731,1711,1691,2597,1647,1781,2301,2247,2125,3397
"MED134_08316",692,729,613,1047,1183,1128,1231,840,1170,760,1085,821,1050,1396,1066,823,560,409,694,987,563,674,752,818,777,780,1056,708,688,909,861,865,1322
"MED134_08321",4250,4254,3185,6658,6543,5838,8573,4983,5261,3650,4919,2089,2488,4231,3008,2181,2900,2531,3635,5905,2925,3986,4005,3338,3283,3030,2476,1753,1564,2361,2530,2208,3484
"MED134_08326",530,613,334,778,788,594,1134,529,1087,542,780,580,592,1247,855,515,461,277,485,849,331,440,450,652,593,515,680,472,488,672,583,566,1055
"MED134_08331",539,570,330,715,827,665,1154,581,1062,563,890,650,671,1279,888,572,453,282,473,816,260,384,310,751,590,549,666,452,503,742,680,679,1183
"MED134_08336",1331,1486,1129,1599,1798,1419,2096,1145,1993,1153,1525,1215,1279,2196,1608,1062,951,754,1377,1668,937,1067,1123,1292,1229,1201,1358,1053,959,1397,1459,1264,1972
"MED134_08341",544,620,353,664,762,520,800,455,835,455,725,633,548,1108,805,447,448,310,462,654,281,355,404,578,524,472,590,495,444,557,535,475,784
"MED134_08346",1036,1072,657,1340,1576,1132,1717,955,1528,901,1479,1189,1245,2178,1394,883,814,593,889,1279,542,683,787,1106,861,887,1100,842,851,1129,1138,994,1504
"MED134_08351",649,736,876,1136,1254,1031,1426,944,1396,987,1494,1106,1228,1869,1452,1228,567,411,961,1176,566,890,708,891,890,913,1607,1133,1085,1211,1098,1050,1843
"MED134_08356",1177,1196,1134,1598,1760,1340,2003,1179,1787,1381,1710,1334,1360,2218,1730,1729,761,709,1131,1843,972,1468,1110,1430,1438,1430,1985,1284,1198,1916,1896,1669,2674
"MED134_08361",4251,4391,3880,5524,5919,4302,6895,4031,6285,4275,5657,3156,3388,6410,4895,3900,3586,2811,4088,5656,2802,3936,3410,4838,4635,4478,4221,2896,3088,4919,4945,4376,6997
"MED134_08366",2507,2742,2445,3220,3524,2801,3877,2253,3809,2380,3278,1247,1361,2240,1982,1726,2168,1630,2495,3265,1814,2213,2152,2682,2569,2755,1548,1132,1351,2103,2118,1816,2656
"MED134_08371",1507,1640,1314,2071,2287,1698,2365,1446,2235,1549,2189,757,879,1438,1166,996,1195,887,1475,1916,1047,1321,1398,1653,1490,1561,927,739,870,1288,1355,1207,1675
"MED134_08376",2924,2826,3029,4043,4419,3413,4787,3146,4210,3062,4360,1751,1852,3247,3096,2505,2273,1942,2868,3934,2386,3229,2614,3368,3226,3312,2131,1519,2081,2878,2826,2696,3984
"MED134_08381",4747,4874,4136,6087,7210,4332,7042,4134,8102,5186,7214,4679,4304,8082,6759,5548,4030,3040,4200,6223,3146,4376,3627,6518,6272,5771,5930,4000,4443,6577,6876,5979,8248
"MED134_08386",3207,3813,3610,5217,5389,4210,6699,3498,4636,3361,4884,1817,1694,3106,2299,2222,2281,2115,3646,5011,3145,4128,3030,3123,3269,3558,2672,1633,1614,2408,2366,2167,3408
"MED134_08391",2092,2311,2095,3257,3590,2320,3883,2206,4021,2617,3459,1698,1560,3217,2236,1958,1670,1277,2098,3096,1764,2101,1927,2864,2695,2734,2473,1660,1683,2289,2358,2112,3356
"MED134_08396",2852,3297,2447,4026,4538,3008,4507,2752,4688,3246,4315,1861,1942,3472,2334,2046,2264,1684,2673,3596,2479,2538,2879,3346,3351,3348,2526,2145,1822,2508,2385,2112,3290
"MED134_08401",29651,33806,23140,34939,42848,25553,40758,23766,39162,26412,35047,13282,12947,24319,16279,15585,21774,16784,26236,33804,19198,22036,21152,30831,28043,27235,20866,13441,13198,18137,17903,16395,23713
"MED134_08406",16030,16549,14007,16130,18817,11702,18373,10727,16541,11105,14423,5912,6105,11418,6787,6428,14103,10720,13629,16681,7216,10698,10371,13823,13270,12114,9157,6260,6165,8933,9052,8088,12006
"MED134_08411",606,716,535,927,1233,861,1353,747,2006,1054,2011,1308,1268,2580,1381,1157,481,350,643,1010,597,741,594,1235,1222,1247,1904,1366,880,667,574,576,1922
"MED134_08416",495,511,450,1034,1267,888,1374,888,1891,1353,1670,1052,959,1876,972,905,411,293,499,1171,663,1068,771,1337,1356,1373,1516,1100,651,643,575,641,1367
"MED134_08426",1114,1336,1232,2039,2431,2004,3011,1589,3145,2230,3274,2365,2426,4225,2535,2218,822,761,1367,2344,1293,2096,1400,2245,2320,2538,3167,2133,1703,2235,2106,1949,3602
"MED134_08431",1019,1057,1015,1670,2017,1382,2227,1373,2408,1781,2179,1774,1476,2836,2018,2080,858,740,1067,2058,999,1563,1053,1711,1937,1786,2789,1500,1544,1243,1087,1212,2672
"MED134_08436",2528,2450,2189,4210,4684,3198,5331,3016,5778,3972,5454,4049,3010,6429,4508,3803,1966,1555,2347,4619,2701,3714,2856,4142,4439,4078,5080,3413,2895,3774,3261,3506,5664
"MED134_08441",854,926,713,1520,1994,1279,2131,1182,2368,1503,2649,1501,1539,2797,1675,1298,751,510,815,1525,873,1217,966,1758,1619,1720,1726,1274,1075,986,873,877,1958
"MED134_16692",565,575,508,1009,1231,896,1472,893,1571,1036,1824,731,680,1434,875,849,459,342,606,1201,618,960,716,1083,1076,1056,1200,817,641,327,265,284,1166
"MED134_08451",1160,1238,1033,2264,2767,2170,3094,1892,3770,2310,3591,1552,1611,3073,1597,1321,842,614,1277,2632,1404,1948,1500,2484,2243,2329,2292,1407,1101,859,765,794,2101
"MED134_08456",1998,2085,1761,3798,4480,3205,4989,2878,5870,3664,5225,2970,2637,5411,3151,2961,1602,1221,1970,4115,2248,3083,2373,4016,3963,3723,4147,2732,2216,2406,2408,2321,4114
"MED134_08461",1851,1943,1648,3391,3616,3065,4625,2462,4647,2820,4250,2057,2035,3782,2353,1886,1442,1026,1717,3631,2077,2648,2126,3240,2896,3048,2696,1764,1390,2231,2135,1986,3306
"MED134_08466",2457,2656,3229,3853,4065,3176,5632,3081,3859,2565,4308,2710,2264,4693,4244,2941,1866,1741,2749,4273,2537,3555,2725,2509,2651,2734,3082,2118,2146,2236,1904,2030,4639
"MED134_08471",5753,6250,5381,8338,9414,7770,11423,6539,7968,5238,9155,5514,5784,10148,7965,5755,4151,3140,5269,7725,4059,5366,5433,5214,4836,5044,6105,4721,4965,5093,4958,4843,9297
"MED134_08476",1030,1130,1175,2827,2982,2732,3938,2216,2454,1721,2754,876,918,1590,1576,1476,864,722,1090,2856,1727,2179,1954,1468,1652,1609,1418,996,1135,768,547,750,2170
"MED134_08481",3097,3005,3855,7836,7857,8150,11760,7348,5066,3982,5215,1281,1324,2358,2131,1885,3002,2294,3167,9085,5457,7967,6583,2743,3533,3246,2117,1197,1453,1053,1060,995,2775
"MED134_08486",24512,24889,30412,71406,67516,61485,98068,49047,40657,28731,40955,10775,10324,20235,16915,13761,22065,18305,25984,69728,38595,50550,46342,21498,25624,23960,14421,9362,10321,14982,14353,13224,21448
"MED134_08491",19748,20771,20878,58698,59157,54506,81411,41616,35145,25500,40148,7401,6825,12617,12584,9491,17997,13887,19037,56524,33183,43294,38392,17114,21722,21424,9040,6040,6765,7644,6876,6959,14177
"MED134_08496",265,332,234,459,505,397,647,398,767,513,769,659,654,1386,1146,915,238,165,238,482,309,411,323,468,536,497,971,730,782,547,417,521,1397
"MED134_08501",215,203,179,508,525,302,504,334,634,538,621,798,648,1267,1049,852,143,142,195,572,288,372,416,473,489,510,975,825,660,595,517,549,1132
"MED134_08506",158,152,115,277,318,232,403,176,637,330,605,684,680,1403,1065,746,109,78,123,274,161,234,186,336,391,326,968,693,681,654,546,584,1367
"MED134_08511",121,180,112,251,343,248,362,166,559,292,526,725,827,1325,1125,844,126,87,123,274,114,181,178,371,338,299,1006,681,825,872,809,844,1532
"MED134_16706",67,95,53,121,159,128,183,92,265,142,251,300,338,548,464,371,54,42,64,135,86,84,84,157,141,136,437,326,369,376,300,345,603
"MED134_08521",109,134,119,199,278,226,284,151,467,240,473,566,638,1135,877,693,86,57,143,182,115,152,138,299,276,287,892,575,719,629,515,556,1262
"MED134_16708",99,108,129,157,214,196,259,169,326,215,388,322,372,715,616,578,120,66,152,221,109,202,140,200,246,244,652,412,490,401,308,337,806
"MED134_16709",436,557,757,765,884,773,1241,812,636,755,954,858,856,1471,1517,1687,351,431,562,985,491,994,724,519,864,815,1444,770,1098,565,417,504,1916
"MED134_08536",1205,1263,1491,2201,2372,1890,3165,1961,2700,2202,2817,2758,2310,5061,4432,4048,1018,971,1340,2699,1514,2353,1780,1976,2316,2268,4866,2927,3308,1424,1029,1277,5244
"MED134_08541",1121,1198,1024,1740,2136,1663,2304,1432,2364,1520,2430,1684,1870,3306,2760,2097,912,648,1210,1726,1059,1293,1113,1628,1479,1623,2313,1512,1855,1953,1708,1844,3595
"MED134_08546",315,322,257,548,751,448,735,390,906,551,936,644,523,1076,844,639,261,155,272,523,296,361,276,650,652,581,779,506,481,708,648,631,973
"MED134_08556",62,93,681,122,103,92,155,76,92,63,148,107,131,245,167,138,79,39,649,120,121,89,102,68,70,93,181,136,90,99,118,107,187
"MED134_08561",529,443,577,670,790,619,900,554,823,543,728,581,662,1104,664,515,390,326,628,706,370,465,470,591,526,597,672,603,487,756,693,553,875
